Unnamed: 0,Unnamed: 1,Unnamed: 2,Bill of materials,Unnamed: 4,Unnamed: 5,Unnamed: 6
U7,IC REG LINEAR 3.3V 500MA 6DFN,son7p95_300x300x100l40x34t23-1,STMicroelectronics,LD39050PU33R,Fitted,1
U8,,qfn49p50_700x700x60l40x25t560n,STMicroelectronics,STM32G431CBU6,Fitted,1
U9,IC REG BUCK ADJ 3A 10VDFPN,son11p50_300x300x100l40x24t2-1,STMicroelectronics,L7986TR,Fitted,1
"U10, U11, U13",IC DRIVER HI/LO SIDE HV 8-SOIC,SOIC8P127_490X600X175L83X42N,STMicroelectronics,L6387ED,Fitted,3
"U12, U14",IC REG LINEAR POS ADJ 1A 6DFN,son7p65_200x200x100l25x30t18-1,STMicroelectronics,LDFPVR,Fitted,2
Y1,CRYSTAL 8.0000MHZ 8PF SMD,xtaldfn2_320x250x100l130x230,"NDK America, Inc.",NX3225GD-8MHZ-STD-CRA-3,Fitted,1
Y2,CER RES 8.0000MHZ 33PF SMD,murata_cstce8m00g15c99-r0,Murata Electronics North America,CSTNE8M00GH5C000R0,Fitted,1
C12,CAP CER 0402-NOT MOUNTED,C_0402,,,Not Fitted,1
J1,SOLDER PADS,SOLDER_PAD_4PIN_SMD,,,Not Fitted,1
J2,SOLDER PADS,strip4_100m_v,,,Not Fitted,1
J3,SOLDER PADS,SOLDER_PAD_5PIN_SMD,,,Not Fitted,1
J4,SOLDER PADS,SOLDER_PAD_4PIN_rect_SMD,,,Not Fitted,1
"J5, J6",SOLDER PADS,wire1_220s,,,Not Fitted,2
J7,SOLDER PADS,conn_motor_out,,,Not Fitted,1
J8,SOLDER PADS,SOLDER_PAD_5PIN_SMD,,,Not Fitted,1
"JP1, JP2, JP3",2 PIN SHORTED TO CONNECT DIFFERENT NETS,SHORT,,,Not Fitted,3
R17,RES SMD 0402 - NOT MOUNTED,R_0402,,,Not Fitted,1
"TP1, TP2, TP3",TEST POINT 1MM  SMD PADSTASCK,test_point_100_smd,,,Not Fitted,3
